Order_ID,Order_Date,Customer_ID,Product,Category,Region,Customer_Type,Quantity,Unit_Price,Discount,Sales,Profit,Salesperson
ORD0041,2025-12-01,CUST244,Office Chair,Furniture,South,Consumer,1,12000,0.1,10800.0,1800.0,Aarav
ORD0042,2025-05-16,CUST078,Wireless Headphones,Electronics,Central,Corporate,4,4500,0.05,17100.0,2340.0,Rohan
ORD0043,2025-12-14,CUST159,USB-C Hub,Electronics,South,Corporate,3,3200,0.02,9408.0,1536.0,Meera
ORD0044,2025-12-08,CUST046,USB-C Hub,Electronics,North,Corporate,2,3200,0.15,5440.0,192.0,Aarav
ORD0045,2025-12-29,CUST038,Mechanical Keyboard,Electronics,Central,Consumer,4,5500,0.15,18700.0,660.0,Rohan
ORD0046,2025-11-23,CUST029,Desk Lamp,Furniture,East,Corporate,7,2500,0.02,17150.0,4025.0,Diya
ORD0047,2025-08-30,CUST103,Laptop Pro 14,Electronics,South,Small Business,6,85000,0.02,499800.0,81600.0,Aarav
ORD0048,2025-04-06,CUST002,Monitor 27-inch,Electronics,Central,Small Business,6,24000,0.02,141120.0,23040.0,Diya
ORD0049,2025-10-31,CUST223,Laptop Pro 14,Electronics,North,Small Business,1,85000,0.0,85000.0,15300.0,Diya
ORD0050,2025-11-16,CUST012,Office Chair,Furniture,North,Consumer,5,12000,0.1,54000.0,9000.0,Diya
ORD0051,2025-12-21,CUST125,USB-C Hub,Electronics,East,Corporate,6,3200,0.02,18816.0,3072.0,Aarav
ORD0052,2025-03-25,CUST070,USB-C Hub,Electronics,North,Consumer,1,3200,0.0,3200.0,576.0,Rohan
ORD0053,2025-07-04,CUST232,USB-C Hub,Electronics,West,Small Business,1,3200,0.02,3136.0,512.0,Meera
ORD0054,2025-10-21,CUST007,Standing Desk,Furniture,West,Consumer,2,22000,0.15,37400.0,4400.0,Rohan
ORD0055,2025-02-15,CUST142,Desk Lamp,Furniture,Central,Consumer,1,2500,0.05,2375.0,500.0,Kabir
ORD0056,2025-06-28,CUST128,USB-C Hub,Electronics,West,Consumer,3,3200,0.0,9600.0,1728.0,Anaya
ORD0057,2025-12-04,CUST125,Notebook Set,Office Supplies,North,Corporate,3,450,0.15,1147.5,229.5,Meera
ORD0058,2025-02-08,CUST181,Wireless Headphones,Electronics,North,Small Business,5,4500,0.15,19125.0,675.0,Kabir
ORD0059,2025-08-06,CUST046,Laptop Pro 14,Electronics,Central,Small Business,7,85000,0.0,595000.0,107100.0,Rohan
ORD0060,2025-10-14,CUST212,Standing Desk,Furniture,North,Corporate,4,22000,0.1,79200.0,13200.0,Aarav
ORD0061,2025-10-18,CUST116,Mechanical Keyboard,Electronics,South,Corporate,6,5500,0.02,32340.0,5280.0,Meera
ORD0062,2025-11-13,CUST189,Monitor 27-inch,Electronics,West,Consumer,5,24000,0.15,102000.0,3600.0,Kabir
ORD0063,2025-06-05,CUST029,Wireless Headphones,Electronics,West,Small Business,3,4500,0.15,11475.0,405.0,Anaya
ORD0064,2025-04-01,CUST068,Mechanical Keyboard,Electronics,South,Small Business,4,5500,0.05,20900.0,2860.0,Rohan
ORD0065,2025-02-08,CUST221,Desk Lamp,Furniture,North,Corporate,6,2500,0.15,12750.0,1500.0,Meera
ORD0066,2025-10-29,CUST080,Office Chair,Furniture,South,Small Business,2,12000,0.0,24000.0,6000.0,Aarav
ORD0067,2025-03-02,CUST039,USB-C Hub,Electronics,South,Corporate,7,3200,0.05,21280.0,2912.0,Aarav
ORD0068,2025-01-08,CUST178,Standing Desk,Furniture,North,Consumer,1,22000,0.05,20900.0,4400.0,Diya
ORD0069,2025-08-04,CUST129,Desk Lamp,Furniture,West,Small Business,1,2500,0.05,2375.0,500.0,Kabir
ORD0070,2025-07-04,CUST185,Desk Lamp,Furniture,Central,Small Business,3,2500,0.15,6375.0,750.0,Anaya
ORD0071,2025-03-08,CUST223,Notebook Set,Office Supplies,South,Consumer,1,450,0.05,427.5,121.5,Diya
ORD0072,2025-06-01,CUST071,Premium Pen Set,Office Supplies,North,Consumer,4,700,0.15,2380.0,476.0,Kabir
ORD0073,2025-02-07,CUST024,USB-C Hub,Electronics,Central,Consumer,4,3200,0.15,10880.0,384.0,Aarav
ORD0074,2025-02-06,CUST210,Standing Desk,Furniture,Central,Small Business,7,22000,0.1,138600.0,23100.0,Anaya
ORD0075,2025-10-20,CUST145,Mechanical Keyboard,Electronics,West,Corporate,7,5500,0.02,37730.0,6160.0,Meera
ORD0076,2025-02-19,CUST207,Premium Pen Set,Office Supplies,East,Consumer,6,700,0.1,3780.0,924.0,Meera
ORD0077,2025-06-18,CUST197,USB-C Hub,Electronics,South,Small Business,7,3200,0.15,19040.0,672.0,Meera
ORD0078,2025-02-21,CUST109,Mechanical Keyboard,Electronics,East,Consumer,2,5500,0.0,11000.0,1980.0,Kabir
ORD0079,2025-05-15,CUST127,Premium Pen Set,Office Supplies,South,Small Business,2,700,0.02,1372.0,420.0,Diya
ORD0080,2025-09-08,CUST059,Standing Desk,Furniture,South,Small Business,3,22000,0.0,66000.0,16500.0,Anaya
ORD0081,2025-06-25,CUST193,Premium Pen Set,Office Supplies,South,Corporate,7,700,0.15,4165.0,833.0,Meera
ORD0082,2025-08-27,CUST051,USB-C Hub,Electronics,Central,Corporate,6,3200,0.05,18240.0,2496.0,Meera
ORD0083,2025-04-16,CUST045,Monitor 27-inch,Electronics,West,Consumer,5,24000,0.0,120000.0,21600.0,Diya
ORD0084,2025-11-11,CUST230,Notebook Set,Office Supplies,North,Small Business,5,450,0.05,2137.5,607.5,Meera
ORD0085,2025-09-22,CUST146,Premium Pen Set,Office Supplies,North,Corporate,1,700,0.1,630.0,154.0,Anaya
ORD0086,2025-12-16,CUST043,Monitor 27-inch,Electronics,Central,Corporate,1,24000,0.15,20400.0,720.0,Meera
ORD0087,2025-10-18,CUST233,Standing Desk,Furniture,Central,Consumer,6,22000,0.15,112200.0,13200.0,Diya
ORD0088,2025-02-04,CUST131,Monitor 27-inch,Electronics,West,Consumer,5,24000,0.0,120000.0,21600.0,Diya
ORD0089,2025-07-28,CUST119,Wireless Headphones,Electronics,East,Small Business,4,4500,0.0,18000.0,3240.0,Meera
ORD0090,2025-10-19,CUST130,Monitor 27-inch,Electronics,East,Consumer,6,24000,0.15,122400.0,4320.0,Meera
ORD0091,2025-02-13,CUST197,Wireless Headphones,Electronics,North,Small Business,7,4500,0.15,26775.0,945.0,Aarav
ORD0092,2025-06-02,CUST231,Standing Desk,Furniture,West,Consumer,5,22000,0.1,99000.0,16500.0,Rohan
ORD0093,2025-11-24,CUST205,Monitor 27-inch,Electronics,West,Corporate,3,24000,0.1,64800.0,5760.0,Diya
ORD0094,2025-04-25,CUST079,Monitor 27-inch,Electronics,North,Small Business,3,24000,0.05,68400.0,9360.0,Aarav
ORD0095,2025-06-09,CUST185,Laptop Pro 14,Electronics,South,Consumer,7,85000,0.05,565250.0,77350.0,Rohan
ORD0096,2025-12-08,CUST091,Wireless Headphones,Electronics,West,Corporate,4,4500,0.15,15300.0,540.0,Kabir
ORD0097,2025-12-27,CUST002,Wireless Headphones,Electronics,West,Small Business,3,4500,0.1,12150.0,1080.0,Anaya
ORD0098,2025-11-07,CUST220,Standing Desk,Furniture,West,Consumer,1,22000,0.02,21560.0,5060.0,Aarav
ORD0099,2025-09-08,CUST137,Standing Desk,Furniture,North,Consumer,5,22000,0.0,110000.0,27500.0,Kabir
ORD0100,2025-04-18,CUST243,Monitor 27-inch,Electronics,East,Consumer,6,24000,0.05,136800.0,18720.0,Kabir
ORD0101,2025-12-02,CUST185,Laptop Pro 14,Electronics,West,Corporate,3,85000,0.05,242250.0,33150.0,Aarav
ORD0102,2025-11-17,CUST172,Office Chair,Furniture,South,Small Business,7,12000,0.0,84000.0,21000.0,Anaya
ORD0103,2025-12-31,CUST006,Laptop Pro 14,Electronics,West,Consumer,1,85000,0.1,76500.0,6800.0,Meera
ORD0104,2025-11-24,CUST216,Premium Pen Set,Office Supplies,North,Consumer,1,700,0.1,630.0,154.0,Diya
ORD0105,2025-10-11,CUST203,Standing Desk,Furniture,North,Consumer,2,22000,0.15,37400.0,4400.0,Anaya
ORD0106,2025-01-14,CUST002,Mechanical Keyboard,Electronics,North,Consumer,5,5500,0.15,23375.0,825.0,Aarav
ORD0107,2025-10-20,CUST241,Desk Lamp,Furniture,South,Consumer,5,2500,0.15,10625.0,1250.0,Anaya
ORD0108,2025-10-20,CUST243,Mechanical Keyboard,Electronics,Central,Consumer,1,5500,0.1,4950.0,440.0,Rohan
ORD0109,2025-11-02,CUST112,Desk Lamp,Furniture,North,Corporate,5,2500,0.15,10625.0,1250.0,Diya
ORD0110,2025-07-04,CUST135,Wireless Headphones,Electronics,West,Corporate,1,4500,0.1,4050.0,360.0,Meera
ORD0111,2025-02-26,CUST204,Laptop Pro 14,Electronics,West,Consumer,6,85000,0.05,484500.0,66300.0,Diya
ORD0112,2025-09-17,CUST131,Laptop Pro 14,Electronics,Central,Small Business,2,85000,0.0,170000.0,30600.0,Meera
ORD0113,2025-08-13,CUST002,Notebook Set,Office Supplies,North,Consumer,1,450,0.0,450.0,144.0,Anaya
ORD0114,2025-03-05,CUST093,Standing Desk,Furniture,North,Small Business,5,22000,0.05,104500.0,22000.0,Diya
ORD0115,2025-06-17,CUST136,Office Chair,Furniture,West,Consumer,7,12000,0.05,79800.0,16800.0,Meera
ORD0116,2025-02-22,CUST063,Desk Lamp,Furniture,Central,Corporate,5,2500,0.05,11875.0,2500.0,Diya
ORD0117,2025-09-13,CUST065,Standing Desk,Furniture,West,Corporate,5,22000,0.05,104500.0,22000.0,Anaya
ORD0118,2025-07-05,CUST173,Wireless Headphones,Electronics,East,Small Business,2,4500,0.05,8550.0,1170.0,Kabir
ORD0119,2025-02-18,CUST237,Wireless Headphones,Electronics,South,Consumer,1,4500,0.15,3825.0,135.0,Diya
ORD0120,2025-08-12,CUST101,Premium Pen Set,Office Supplies,West,Small Business,3,700,0.1,1890.0,462.0,Kabir
ORD0121,2025-03-21,CUST238,Wireless Headphones,Electronics,East,Corporate,3,4500,0.15,11475.0,405.0,Diya
ORD0122,2025-06-02,CUST120,USB-C Hub,Electronics,East,Consumer,1,3200,0.02,3136.0,512.0,Diya
ORD0123,2025-07-26,CUST148,Laptop Pro 14,Electronics,West,Corporate,5,85000,0.02,416500.0,68000.0,Meera
ORD0124,2025-04-26,CUST062,Notebook Set,Office Supplies,West,Corporate,5,450,0.1,2025.0,495.0,Meera
ORD0125,2025-08-17,CUST132,Wireless Headphones,Electronics,South,Small Business,4,4500,0.05,17100.0,2340.0,Meera
ORD0126,2025-11-20,CUST033,Desk Lamp,Furniture,Central,Small Business,6,2500,0.05,14250.0,3000.0,Meera
ORD0127,2025-10-19,CUST062,Monitor 27-inch,Electronics,South,Corporate,4,24000,0.02,94080.0,15360.0,Anaya
ORD0128,2025-02-12,CUST014,Office Chair,Furniture,North,Small Business,4,12000,0.0,48000.0,12000.0,Anaya
ORD0129,2025-04-13,CUST142,Desk Lamp,Furniture,South,Corporate,1,2500,0.0,2500.0,625.0,Diya
ORD0130,2025-09-29,CUST226,Monitor 27-inch,Electronics,North,Corporate,3,24000,0.0,72000.0,12960.0,Rohan
ORD0131,2025-05-16,CUST178,Monitor 27-inch,Electronics,North,Consumer,6,24000,0.05,136800.0,18720.0,Meera
ORD0132,2025-05-14,CUST126,Premium Pen Set,Office Supplies,Central,Consumer,1,700,0.05,665.0,189.0,Anaya
ORD0133,2025-04-24,CUST193,Standing Desk,Furniture,West,Consumer,6,22000,0.05,125400.0,26400.0,Rohan
ORD0134,2025-08-22,CUST084,Monitor 27-inch,Electronics,North,Small Business,3,24000,0.15,61200.0,2160.0,Diya
ORD0135,2025-03-01,CUST178,Monitor 27-inch,Electronics,North,Corporate,4,24000,0.05,91200.0,12480.0,Anaya
ORD0136,2025-07-22,CUST051,USB-C Hub,Electronics,Central,Small Business,7,3200,0.15,19040.0,672.0,Anaya
ORD0137,2025-06-13,CUST211,Premium Pen Set,Office Supplies,South,Consumer,1,700,0.05,665.0,189.0,Aarav
ORD0138,2025-06-08,CUST120,Desk Lamp,Furniture,East,Small Business,6,2500,0.0,15000.0,3750.0,Aarav
ORD0139,2025-11-28,CUST236,Office Chair,Furniture,North,Corporate,2,12000,0.02,23520.0,5520.0,Diya
ORD0140,2025-06-28,CUST249,Wireless Headphones,Electronics,East,Small Business,3,4500,0.0,13500.0,2430.0,Kabir
ORD0141,2025-03-30,CUST211,Laptop Pro 14,Electronics,Central,Small Business,1,85000,0.02,83300.0,13600.0,Meera
ORD0142,2025-09-02,CUST199,Notebook Set,Office Supplies,West,Corporate,5,450,0.05,2137.5,607.5,Aarav
ORD0143,2025-07-16,CUST221,Monitor 27-inch,Electronics,South,Small Business,3,24000,0.1,64800.0,5760.0,Anaya
ORD0144,2025-10-08,CUST173,Office Chair,Furniture,Central,Corporate,4,12000,0.05,45600.0,9600.0,Meera
ORD0145,2025-08-03,CUST031,Standing Desk,Furniture,Central,Corporate,7,22000,0.02,150920.0,35420.0,Kabir
ORD0146,2025-07-13,CUST130,Notebook Set,Office Supplies,North,Consumer,4,450,0.15,1530.0,306.0,Kabir
ORD0147,2025-08-19,CUST098,USB-C Hub,Electronics,North,Consumer,7,3200,0.1,20160.0,1792.0,Kabir
ORD0148,2025-01-10,CUST152,Office Chair,Furniture,Central,Small Business,2,12000,0.02,23520.0,5520.0,Kabir
ORD0149,2025-08-07,CUST142,Standing Desk,Furniture,North,Corporate,3,22000,0.0,66000.0,16500.0,Diya
ORD0150,2025-08-20,CUST179,Wireless Headphones,Electronics,Central,Small Business,5,4500,0.05,21375.0,2925.0,Meera
ORD0151,2025-10-05,CUST163,Desk Lamp,Furniture,Central,Corporate,4,2500,0.15,8500.0,1000.0,Rohan
ORD0152,2025-10-13,CUST116,Mechanical Keyboard,Electronics,Central,Consumer,7,5500,0.1,34650.0,3080.0,Aarav
ORD0153,2025-06-10,CUST163,Notebook Set,Office Supplies,East,Small Business,6,450,0.15,2295.0,459.0,Meera
ORD0154,2025-12-26,CUST039,Standing Desk,Furniture,South,Small Business,7,22000,0.0,154000.0,38500.0,Rohan
ORD0155,2025-05-07,CUST002,USB-C Hub,Electronics,North,Consumer,6,3200,0.1,17280.0,1536.0,Aarav
ORD0156,2025-06-28,CUST219,Notebook Set,Office Supplies,Central,Small Business,6,450,0.15,2295.0,459.0,Kabir
ORD0157,2025-05-31,CUST019,Office Chair,Furniture,West,Corporate,7,12000,0.02,82320.0,19320.0,Aarav
ORD0158,2025-10-20,CUST067,Mechanical Keyboard,Electronics,Central,Corporate,4,5500,0.05,20900.0,2860.0,Rohan
ORD0159,2025-05-17,CUST239,Mechanical Keyboard,Electronics,North,Corporate,1,5500,0.0,5500.0,990.0,Aarav
ORD0160,2025-09-18,CUST165,USB-C Hub,Electronics,West,Consumer,5,3200,0.1,14400.0,1280.0,Anaya
ORD0161,2025-10-20,CUST096,Monitor 27-inch,Electronics,North,Small Business,6,24000,0.02,141120.0,23040.0,Diya
ORD0162,2025-11-10,CUST111,Wireless Headphones,Electronics,North,Small Business,5,4500,0.02,22050.0,3600.0,Meera
ORD0163,2025-01-11,CUST190,Mechanical Keyboard,Electronics,East,Small Business,5,5500,0.05,26125.0,3575.0,Anaya
ORD0164,2025-03-28,CUST104,Premium Pen Set,Office Supplies,Central,Corporate,5,700,0.02,3430.0,1050.0,Kabir
ORD0165,2025-04-20,CUST178,Monitor 27-inch,Electronics,East,Corporate,6,24000,0.15,122400.0,4320.0,Kabir
ORD0166,2025-11-20,CUST217,Wireless Headphones,Electronics,North,Small Business,2,4500,0.05,8550.0,1170.0,Aarav
ORD0167,2025-09-19,CUST107,Premium Pen Set,Office Supplies,Central,Corporate,3,700,0.05,1995.0,567.0,Anaya
ORD0168,2025-05-29,CUST134,Premium Pen Set,Office Supplies,North,Consumer,3,700,0.1,1890.0,462.0,Meera
ORD0169,2025-09-13,CUST184,Wireless Headphones,Electronics,East,Consumer,7,4500,0.15,26775.0,945.0,Kabir
ORD0170,2025-07-01,CUST087,Standing Desk,Furniture,North,Consumer,7,22000,0.02,150920.0,35420.0,Kabir
ORD0171,2025-03-15,CUST139,Laptop Pro 14,Electronics,North,Consumer,1,85000,0.02,83300.0,13600.0,Kabir
ORD0172,2025-05-06,CUST113,USB-C Hub,Electronics,East,Small Business,5,3200,0.15,13600.0,480.0,Anaya
ORD0173,2025-07-17,CUST246,USB-C Hub,Electronics,South,Corporate,6,3200,0.05,18240.0,2496.0,Anaya
ORD0174,2025-04-29,CUST223,Office Chair,Furniture,Central,Consumer,2,12000,0.05,22800.0,4800.0,Meera
ORD0175,2025-08-04,CUST155,USB-C Hub,Electronics,West,Consumer,6,3200,0.02,18816.0,3072.0,Diya
ORD0176,2025-04-28,CUST045,Desk Lamp,Furniture,North,Corporate,2,2500,0.02,4900.0,1150.0,Anaya
ORD0177,2025-07-24,CUST063,Laptop Pro 14,Electronics,West,Corporate,2,85000,0.0,170000.0,30600.0,Rohan
ORD0178,2025-06-23,CUST238,Premium Pen Set,Office Supplies,Central,Corporate,4,700,0.15,2380.0,476.0,Rohan
ORD0179,2025-11-26,CUST067,Mechanical Keyboard,Electronics,West,Corporate,6,5500,0.1,29700.0,2640.0,Diya
ORD0180,2025-02-07,CUST107,Wireless Headphones,Electronics,West,Consumer,4,4500,0.02,17640.0,2880.0,Anaya
ORD0181,2025-06-08,CUST035,Monitor 27-inch,Electronics,North,Small Business,4,24000,0.15,81600.0,2880.0,Anaya
ORD0182,2025-01-15,CUST013,Monitor 27-inch,Electronics,South,Corporate,1,24000,0.02,23520.0,3840.0,Aarav
ORD0183,2025-07-08,CUST198,USB-C Hub,Electronics,South,Consumer,4,3200,0.02,12544.0,2048.0,Aarav
ORD0184,2025-05-21,CUST195,Desk Lamp,Furniture,North,Small Business,1,2500,0.1,2250.0,375.0,Rohan
ORD0185,2025-04-21,CUST123,Standing Desk,Furniture,South,Consumer,2,22000,0.15,37400.0,4400.0,Kabir
ORD0186,2025-02-10,CUST104,Wireless Headphones,Electronics,Central,Consumer,1,4500,0.02,4410.0,720.0,Aarav
ORD0187,2025-06-28,CUST008,Wireless Headphones,Electronics,South,Corporate,4,4500,0.02,17640.0,2880.0,Kabir
ORD0188,2025-11-04,CUST133,Notebook Set,Office Supplies,South,Consumer,6,450,0.05,2565.0,729.0,Diya
ORD0189,2025-06-25,CUST216,Notebook Set,Office Supplies,West,Corporate,2,450,0.15,765.0,153.0,Diya
ORD0190,2025-12-06,CUST121,Monitor 27-inch,Electronics,North,Corporate,3,24000,0.02,70560.0,11520.0,Kabir
ORD0191,2025-02-24,CUST151,Desk Lamp,Furniture,North,Consumer,5,2500,0.0,12500.0,3125.0,Aarav
ORD0192,2025-01-04,CUST234,Laptop Pro 14,Electronics,North,Small Business,7,85000,0.0,595000.0,107100.0,Aarav
ORD0193,2025-08-15,CUST119,Wireless Headphones,Electronics,South,Consumer,1,4500,0.1,4050.0,360.0,Meera
ORD0194,2025-11-07,CUST124,Mechanical Keyboard,Electronics,North,Consumer,5,5500,0.1,24750.0,2200.0,Anaya
ORD0195,2025-03-01,CUST225,Notebook Set,Office Supplies,West,Small Business,5,450,0.05,2137.5,607.5,Anaya
ORD0196,2025-12-02,CUST140,Mechanical Keyboard,Electronics,East,Small Business,2,5500,0.02,10780.0,1760.0,Meera
ORD0197,2025-05-12,CUST184,USB-C Hub,Electronics,Central,Consumer,7,3200,0.0,22400.0,4032.0,Diya
ORD0198,2025-08-08,CUST075,Notebook Set,Office Supplies,South,Corporate,6,450,0.0,2700.0,864.0,Kabir
ORD0199,2025-01-29,CUST216,Premium Pen Set,Office Supplies,North,Small Business,3,700,0.15,1785.0,357.0,Kabir
ORD0200,2025-03-02,CUST165,Office Chair,Furniture,West,Small Business,1,12000,0.1,10800.0,1800.0,Rohan
ORD0201,2025-04-26,CUST032,Office Chair,Furniture,Central,Consumer,6,12000,0.15,61200.0,7200.0,Meera
ORD0202,2025-02-22,CUST168,Mechanical Keyboard,Electronics,West,Consumer,1,5500,0.1,4950.0,440.0,Diya
ORD0203,2025-12-28,CUST067,Monitor 27-inch,Electronics,North,Small Business,4,24000,0.0,96000.0,17280.0,Aarav
ORD0204,2025-08-02,CUST098,Notebook Set,Office Supplies,North,Corporate,7,450,0.05,2992.5,850.5,Anaya
ORD0205,2025-07-15,CUST042,Laptop Pro 14,Electronics,West,Consumer,7,85000,0.05,565250.0,77350.0,Diya
ORD0206,2025-08-06,CUST034,Monitor 27-inch,Electronics,South,Corporate,1,24000,0.05,22800.0,3120.0,Meera
ORD0207,2025-01-07,CUST013,USB-C Hub,Electronics,East,Consumer,6,3200,0.0,19200.0,3456.0,Diya
ORD0208,2025-04-03,CUST155,Desk Lamp,Furniture,West,Consumer,7,2500,0.15,14875.0,1750.0,Meera
ORD0209,2025-09-05,CUST134,Notebook Set,Office Supplies,West,Small Business,3,450,0.1,1215.0,297.0,Meera
ORD0210,2025-12-25,CUST038,Mechanical Keyboard,Electronics,East,Small Business,6,5500,0.1,29700.0,2640.0,Meera
ORD0211,2025-10-18,CUST090,USB-C Hub,Electronics,East,Corporate,1,3200,0.0,3200.0,576.0,Kabir
ORD0212,2025-11-21,CUST165,USB-C Hub,Electronics,South,Consumer,1,3200,0.1,2880.0,256.0,Rohan
ORD0213,2025-12-17,CUST067,Standing Desk,Furniture,North,Small Business,2,22000,0.02,43120.0,10120.0,Diya
ORD0214,2025-11-30,CUST061,USB-C Hub,Electronics,South,Corporate,7,3200,0.15,19040.0,672.0,Kabir
ORD0215,2025-11-17,CUST162,Desk Lamp,Furniture,South,Corporate,6,2500,0.1,13500.0,2250.0,Meera
ORD0216,2025-09-24,CUST134,Laptop Pro 14,Electronics,West,Small Business,6,85000,0.1,459000.0,40800.0,Meera
ORD0217,2025-11-26,CUST175,Standing Desk,Furniture,Central,Small Business,1,22000,0.1,19800.0,3300.0,Rohan
ORD0218,2025-03-16,CUST108,Notebook Set,Office Supplies,West,Corporate,1,450,0.0,450.0,144.0,Aarav
ORD0219,2025-05-18,CUST202,Mechanical Keyboard,Electronics,West,Small Business,7,5500,0.15,32725.0,1155.0,Anaya
ORD0220,2025-04-27,CUST088,Premium Pen Set,Office Supplies,West,Corporate,3,700,0.1,1890.0,462.0,Meera
ORD0221,2025-08-08,CUST144,Office Chair,Furniture,Central,Corporate,3,12000,0.0,36000.0,9000.0,Kabir
ORD0222,2025-05-18,CUST091,Laptop Pro 14,Electronics,South,Small Business,2,85000,0.02,166600.0,27200.0,Aarav
ORD0223,2025-09-07,CUST012,Office Chair,Furniture,South,Consumer,2,12000,0.02,23520.0,5520.0,Anaya
